bee_taxon,bee_group_or_common_name,family,genus,rank,all_interaction_rows,source_backed_rows,bee_plant_rows,unique_plants,best_local_support,min_distance_mi,garden_action
Perdita lenis,small mining bee,Andrenidae,Perdita,species,5,5,0,0,≤150 mi from Kyle coordinate,97.8,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita (Macrotera) texana texana,small mining bee,Andrenidae,Perdita,unknown,4,4,4,1,≤50 mi from Kyle coordinate,34.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita missionis,small mining bee,Andrenidae,Perdita,species,16,16,7,1,regional locality text,103.2,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita munita,small mining bee,Andrenidae,Perdita,species,2,2,2,1,≤150 mi from Kyle coordinate,97.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita nigroviridis,small mining bee,Andrenidae,Perdita,species,14,14,14,1,≤150 mi from Kyle coordinate,144.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita pedernalensis,small mining bee,Andrenidae,Perdita,species,5,5,5,1,≤50 mi from Kyle coordinate,32.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita pratti,small mining bee,Andrenidae,Perdita,species,21,21,15,1,regional locality text,56.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita purpurascens,small mining bee,Andrenidae,Perdita,species,216,216,6,2,≤50 mi from Kyle coordinate,39.2,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita scopata,small mining bee,Andrenidae,Perdita,species,21,21,2,1,regional locality text,56.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita sexmaculata,small mining bee,Andrenidae,Perdita,species,15,15,12,2,≤150 mi from Kyle coordinate,68.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita shinnersi,small mining bee,Andrenidae,Perdita,species,1,1,0,0,≤50 mi from Kyle coordinate,39.2,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita xanthisma,small mining bee,Andrenidae,Perdita,species,30,30,30,1,regional locality text,63.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Prosopis,yellow-faced bee,Colletidae,Prosopis,genus,30,30,0,0,≤25 mi from Kyle coordinate,20.8,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Protandrena abdominalis,mining bee,Andrenidae,Protandrena,species,13,13,9,3,≤50 mi from Kyle coordinate,35.2,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena bancrofti,mining bee,Andrenidae,Protandrena,species,1,1,0,0,regional locality text,81.7,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena mexicanorum,mining bee,Andrenidae,Protandrena,species,1,1,1,1,uncertain/outside local filter,169.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena ornatipes,mining bee,Andrenidae,Protandrena,species,9,9,9,5,≤50 mi from Kyle coordinate,37.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena (Pterosarus),mining bee,Andrenidae,Protandrena,unknown,4,4,3,1,Hays-core locality text,24.5,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena (Pterosarus) albitarsis picipes,mining bee,Andrenidae,Protandrena,unknown,1,1,0,0,Hays-core locality text,24.5,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena (Pterosarus) albitarsis porterae,mining bee,Andrenidae,Protandrena,unknown,27,27,1,1,≤150 mi from Kyle coordinate,53.3,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Protandrena texana,mining bee,Andrenidae,Protandrena,species,1,1,1,1,≤150 mi from Kyle coordinate,75.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Pseudopanurgus aethiops,mining bee family,Andrenidae,Pseudopanurgus,species,2,2,2,1,≤150 mi from Kyle coordinate,52.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Pseudopanurgus albitarsis,mining bee family,Andrenidae,Pseudopanurgus,species,6,6,6,3,≤25 mi from Kyle coordinate,14.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Pseudopanurgus ornatipes,mining bee family,Andrenidae,Pseudopanurgus,species,2,2,2,1,≤25 mi from Kyle coordinate,14.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Pseudopanurgus renimaculatus,mining bee family,Andrenidae,Pseudopanurgus,species,2,2,2,1,regional locality text,58.0,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Pseudopanurgus rugosus,mining bee family,Andrenidae,Pseudopanurgus,species,2,2,2,1,≤50 mi from Kyle coordinate,34.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Pseudopanurgus texanus,mining bee family,Andrenidae,Pseudopanurgus,species,2,2,2,1,≤50 mi from Kyle coordinate,27.3,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Sphecodes,cuckoo sweat bee,Halictidae,Sphecodes,genus,1,1,1,1,uncertain/outside local filter,180.2,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Sphecodes minor,cuckoo sweat bee,Halictidae,Sphecodes,species,1,1,1,1,≤25 mi from Kyle coordinate,20.4,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Sphecodes (Sphecodium),cuckoo sweat bee,Halictidae,Sphecodes,unknown,11,11,9,2,≤25 mi from Kyle coordinate,20.4,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Sphecodosoma beameri,sweat bee family,Halictidae,Sphecodosoma,species,12,12,12,1,uncertain/outside local filter,187.2,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Sphecodosoma pratti,sweat bee family,Halictidae,Sphecodosoma,species,1,1,0,0,regional locality text,103.2,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Stelis diversicolor,"leafcutter, mason, resin, and carder bee family",Megachilidae,Stelis,species,2,2,2,1,≤50 mi from Kyle coordinate,27.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Stelis lateralis,"leafcutter, mason, resin, and carder bee family",Megachilidae,Stelis,species,1,1,0,0,regional locality text,102.0,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Svastra grandissima,long-horned bee,Apidae,Svastra,species,1,1,1,1,≤150 mi from Kyle coordinate,83.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Svastra obliqua,long-horned bee,Apidae,Svastra,species,9,9,6,1,≤25 mi from Kyle coordinate,21.1,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Svastra obliqua obliqua,long-horned bee,Apidae,Svastra,subspecies,1,1,1,1,≤150 mi from Kyle coordinate,83.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Svastra petulca,long-horned bee,Apidae,Svastra,species,98,98,70,6,≤25 mi from Kyle coordinate,14.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Svastra petulca suffusa,long-horned bee,Apidae,Svastra,subspecies,103,103,86,3,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Tetraloniella albata,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Tetraloniella,species,1,1,0,0,regional locality text,84.4,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Tetraloniella fasciatella,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Tetraloniella,species,1,1,0,0,uncertain/outside local filter,192.9,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Tetraloniella spissa,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Tetraloniella,species,1,1,1,1,≤150 mi from Kyle coordinate,52.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Thoracobombus,bumble bee,Apidae,Bombus,subgenus,12,12,2,2,≤25 mi from Kyle coordinate,13.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Triepeolus concavus,cuckoo bee,Apidae,Triepeolus,species,2,2,2,1,≤25 mi from Kyle coordinate,21.1,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Triepeolus lunatus,cuckoo bee,Apidae,Triepeolus,species,2,2,2,1,≤150 mi from Kyle coordinate,130.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Triepeolus margaretae,cuckoo bee,Apidae,Triepeolus,species,1,1,0,0,≤150 mi from Kyle coordinate,95.9,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Triepeolus rhododontus,cuckoo bee,Apidae,Triepeolus,species,4,4,4,1,≤150 mi from Kyle coordinate,130.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Triepeolus rufoclypeus,cuckoo bee,Apidae,Triepeolus,species,4,4,4,2,≤25 mi from Kyle coordinate,21.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xeromelecta californica,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Xeromelecta,species,4,4,4,2,≤150 mi from Kyle coordinate,130.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa,carpenter bee,Apidae,Xylocopa,genus,4,4,4,2,≤25 mi from Kyle coordinate,21.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa californica,carpenter bee,Apidae,Xylocopa,species,2,2,2,1,≤150 mi from Kyle coordinate,130.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa californica arizonensis,carpenter bee,Apidae,Xylocopa,subspecies,2,2,2,2,≤150 mi from Kyle coordinate,97.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa micans,carpenter bee,Apidae,Xylocopa,species,7,7,7,5,≤25 mi from Kyle coordinate,21.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa tabaniformis,carpenter bee,Apidae,Xylocopa,species,1,1,1,1,≤150 mi from Kyle coordinate,54.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa tabaniformis parkinsoniae,carpenter bee,Apidae,Xylocopa,subspecies,13,13,10,6,≤50 mi from Kyle coordinate,27.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa virginica,carpenter bee,Apidae,Xylocopa,species,30,30,24,10,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Xylocopa virginica texana,carpenter bee,Apidae,Xylocopa,subspecies,6,6,5,3,≤50 mi from Kyle coordinate,40.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
